Fecha,Lote,Marca comercial,Principio activo,Dosis,Plaga o enfermedad,Maquina utilizada,Tiempo de carencia,Tipo de aplicación o riego,Operario responsable,Excedente,
,4,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),Tract/pulver,,"""","""",,
27/1/2021,4,Miravis Duo,Difenoconazole,1200/800,Oidio,Tract/pulver,,"""","""",,
,4,Hellion,Lufenuron,600/800,Cogollero,Tract/pulver,,"""","""",,
,4,Omite,,400/800,Arañuela,Tract/pulver,,"""","""",,
,4,Imi Max,Imidaclorprid,450/800,Mosca Blanca,Tract/pulver,,"""","""",,
29/1/2021,4,Formol,,3 l,Cancro bacteriano,Chorro puntual,,"""","""",,
2/2/2021,4,Cota 4,SO4 Cu pentahidr,2800/800,Cancro bacteriano,Tract/pulver,,"""","""",,
4/2/2021,4,Hellion,Lufenuron,675/900,Cogollero,Tract/pulver,,"""","""",,
,4,Metomyl,Metomyl,450/900,Cogollero,"""",,"""","""",,
,4,Afital,Fosfito de K,1800/900,Mejoras (Fungi y ferti),"""",,"""","""",,
12/2/2021,4,Belt,Flubendiamide,270/900,Cogollero,"""",,"""","""",,
,4,Oberon,Spiromesifen,450/900,Arañ-Mosca Bl,"""",,"""","""",,
19/8/2019,5-A,FFO,,2,,,,RIEGO,,200,
2/9/2019,5-A,SUMILEX,,"0,15",,,,RIEGO,,,
12/11/2020,5-A,FFO,Microbiol,3 lts,Fertil,,,RIEGO,Cabral,,
12/11/2020,5-A,Rootex,Fert-Ac Humicos,100g,Enraiz,,,Pileteo,Cabral,,
16/2/2021,5-A,Hormonas,Giberelina,,Cogollo,,,,Lulo,,
14/7/2020,5-B,Dual,S-Metolaclor,90cm3/100 L,Malezas preemergencia,Tanque/tractor,,Pulverización,Lulo,1/2 lote Llave A,
29/7/2020,5-B,Dual,S-Metolaclor,*,Malezas preemergencia,Tanque/tractor,,Pulverización,Lulo,1/2 lote Llave B,
31/7/2020,5-B,Cotacuatro,SO4 pentahidr de Cu,,Fungosis,Mochila,,Pulverización,Lulo,1/2 lote Llave A,
7/8/2020,5-B,Cotacuatro,SO4 pentahidr de Cu,1050/300,Fungosis,Mochila,,Pulverización,Lulo,,
*,5-B,Imi-Max,Imidaclorprid,225/300,,Mochila,,Pulverización,Lulo,,
15/9/2020,5-B,Infinito,Propamocarb,100/200,Mildew,Mochila,,Pulverización,Lulo,,
17/11/2020,5-B,Mifos,Glifosato,"0,4/20",Cebollín,Mochila,,Pulverización,Lulo,,
25/11/2020,5-B,Hellion,Lufenuron,"37,5/50",Cogollero,Mochila 20 l,,Pulverización,Lulo,,
"""",5-B,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),Mochila 20 l,,Pulverización,Lulo,,
27/11/2020,5-B,Mifos,Glifosato,350/200,Malezas entresurco,Mochila 20 l,,Pulverización,Lulo,,
7/12/2020,5-B,Belt,Flubendiamide,15/50,Cogollero,Mochila 20 l,,Pulverización,Lulo,,
"""",5-B,Afital,Fosfito de K,100/50,Mejoras (Fungi y ferti),"""",,Pulverización,Lulo,,
14/12/2020,5-B,Proclaim,Emamectina,35/100,Cogollero,"""",,Pulverización,Lulo,,
28/12/2020,5-B,Hellion,Lufenuron,150/200,Cogollero,"""",,Pulverización,Lulo,,
"""",5-B,Afital,Fosfito de K,400/200,Mejoras (Fungi y ferti),"""",,"""","""",,
31/12/2020,5-B,Emamectina,Emamectina,140/400,Cogollero,Tanque/tractor,,"""","""",,
"""",5-B,Hellion,Lufenuron,300/400,Cogollero,"""",,"""","""",,
"""",5-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
4/1/2021,5-B,Hellion,Lufenuron,300/400,Cogollero,"""",,"""","""",,
"""",5-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
"""",5-B,Belt,Flubendiamide,120/400,Cogollero,"""",,"""","""",,
7/1/2021,5-B,Belt,Flubendiamide,120/400,Cogollero,"""",,"""","""",,
"""",5-B,Sunfire,Clorfenapir,300/400,Cogollero,"""",,"""","""",,
"""",5-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
9/1/2021,5-B,Mifos,Glifosato,1400/200,Malezas entresurco,Mochila,,Pulv con pantalla,"""",,
12/1/2021,5-B,Bellis,Piraclostrobyn,140/400,Botritys,Tanque/tractor,,,"""",,
,5-B,Hellion,Lufenuron,300/400,Cogollero,"""",,,"""",,
,5-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,,"""",,
14/1/2021,5-B,Hellion,Lufenuron,300/400,Cogollero,"""",,,"""",,
,5-B,Decis,Deltametrina,80/400,Cogollero,"""",,,"""",,
,5-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,,"""",,
16/1/2021,5-B,Mifos,Glifosato,1500/200,Malezas ,,,,,,
19/1/2021,5-B,Afital,Fosfito de K,100/800,Mejoras (Fungi y ferti),"""",,,,,
,5-B,Hellion,Lufenuron,600/800,Cogollero,,,,,,
,5-B,Decis,Deltametrina,160/800,Cogollero,,,,,,
2/2/2021,5-B,Formol,Formol,2 L/ Lote,Cancro bacteriano,Chorro,,,Lulo,,
16/8/2019,6-A,FFO,Microorg.,5,Mejoramiento de planta,,No Tiene,Riego,,,
20/8/2019,6-A,Agrostin,,"0,05",,1,No Tiene,Foliar,,0,
,6-A,Promalina,,"0,05",,1,No Tiene,Foliar,,0,
,6-A,Silucion,,"0,2",Mejoramiento de planta,1,No Tiene,Foliar,,0,
27/8/2019,6-A,FFO,Microorg.,3,Mejoramiento de planta,,No Tiene,Riego,,,
31/8/2019,6-A,FFO,Microorg.,"2,5",Mejoramiento de planta,,No Tiene,Riego,,,
26/6/2020,6-A,Sunfire,Clorfenapir,,Arañuela,Mochila 20 lts,,Pulverización,Aguirre,,
,6-A,Silución,Zn+Cu+Mn,,,"""",,"""",Aguirre,,
,6-A,A.Nítrico,A.Nitrico,, Ph,"""",,"""",,,
9/7/2020,6-A,Kanemite,acequinocyl,,Arañuela,Mochila 20 lts,,Pulverización,,,
,6-A,Silución,Zn+Cu+Mn,,,"""",,"""",,,
,6-A,A.Nítrico,A.Nitrico,, Ph,"""",,"""",,,
10/7/2020,6-A,Bioplus,Microel+N-,4L,,Maqu tres puntos,,Riego,Cabral,,
18/7/2020,6-A,Sumilex,Procimidone,80cc/100l agua,Fungosis,Mochila 20 lts,,Pulverización,Aguirre,,
